,Light ID,%ICAO,I,H,V,C,S
41,1,183.00,3022.86,-12.56,9.38,W,✓
42,1,183.00,7609.16,-6.76,8.17,W,✓
43,1,183.00,7578.41,-1.87,8.78,W,✓
44,1,183.00,7513.64,3.57,8.55,W,✓
45,1,183.00,7601.34,8.31,8.23,W,✓
46,1,183.00,3076.25,12.98,9.81,W,✓
47,1,183.00,1515.22,19.21,9.91,W,✓
48,1,183.00,339.62,-17.58,11.03,W,✓
49,1,183.00,1580.75,-12.92,11.03,W,✓
50,1,183.00,3093.74,-7.51,11.47,W,✓
51,1,183.00,6001.40,-3.54,10.91,W,✓
52,1,183.00,6064.78,3.06,11.22,W,✓
53,1,183.00,3025.75,8.09,11.35,W,✓
54,1,183.00,1559.86,12.28,12.15,W,✓
55,1,183.00,239.39,17.50,11.19,W,✓
56,2,138.85,248.59,-18.11,0.08,W,✓
57,2,138.85,1527.59,-12.14,-0.19,W,✓
58,2,138.85,3011.35,-6.34,0.03,W,✓
59,2,138.85,5964.29,-2.49,1.65,W,✓
60,2,138.85,6027.57,3.78,0.21,W,✓
61,2,138.85,3078.56,9.06,0.53,W,✓
62,2,138.85,1491.70,13.93,0.85,W,✓
63,2,138.85,307.56,19.46,1.00,W,✓
64,2,138.85,1454.81,-18.68,0.84,W,✓
65,2,138.85,3035.14,-12.40,1.15,W,✓
66,2,138.85,7561.82,-7.19,2.06,W,✓
67,2,138.85,7555.64,-1.35,1.52,W,✓
68,2,138.85,7484.91,4.07,1.95,W,✓
69,2,138.85,7492.13,9.24,1.73,W,✓
70,2,138.85,3127.92,14.34,2.28,W,✓
71,2,138.85,1537.78,18.94,2.63,W,✓
72,2,138.85,3087.52,-18.36,3.58,W,✓
73,2,138.85,7521.52,-12.55,2.43,W,✓
74,2,138.85,10068.53,-8.87,2.96,W,✓
75,2,138.85,9978.87,-2.07,3.14,W,✓
76,2,138.85,9983.56,1.73,3.81,W,✓
77,2,138.85,9957.55,7.71,3.39,W,✓
78,2,138.85,7515.48,13.34,3.42,W,✓
79,2,138.85,2952.01,17.69,4.18,W,✓
80,2,138.85,6112.97,-18.16,4.92,W,✓
81,2,138.85,7593.96,-12.22,5.12,W,✓
82,2,138.85,10089.73,-7.47,4.54,W,✓
83,2,138.85,12112.84,-2.15,6.14,W,✓
84,2,138.85,12008.97,2.54,6.10,W,✓
85,2,138.85,10102.30,9.82,4.46,W,✓
86,2,138.85,7498.18,14.75,5.78,W,✓
87,2,138.85,5930.83,18.41,4.58,W,✓
88,2,138.85,2982.32,-17.74,9.03,W,✓
89,2,138.85,7587.61,-12.11,8.28,W,✓
90,2,138.85,10028.82,-8.40,8.06,W,✓
91,2,138.85,9961.94,-3.16,8.17,W,✓
92,2,138.85,10055.95,3.47,8.18,W,✓
93,2,138.85,9978.47,8.09,7.96,W,✓
94,2,138.85,7595.27,13.29,8.61,W,✓
95,2,138.85,2967.80,18.83,8.49,W,✓
96,2,138.85,1507.85,-17.07,9.05,W,✓
97,2,138.85,3030.41,-12.06,8.94,W,✓
98,2,138.85,7596.48,-6.90,9.56,W,✓
99,2,138.85,7574.04,-1.90,9.99,W,✓
100,2,138.85,7521.81,3.52,9.52,W,✓
101,2,138.85,7591.09,7.88,9.11,W,✓
102,2,138.85,3082.95,12.72,9.54,W,✓
103,2,138.85,1498.15,18.30,8.88,W,✓
104,2,138.85,356.85,-17.79,11.20,W,✓
105,2,138.85,1589.26,-12.54,10.36,W,✓
106,2,138.85,3104.01,-8.20,10.78,W,✓
107,2,138.85,6009.75,-2.33,10.61,W,✓
108,2,138.85,6072.51,3.21,12.13,W,✓
109,2,138.85,2993.67,6.69,11.12,W,✓
110,2,138.85,1554.74,13.40,10.52,W,✓
111,2,138.85,224.05,17.35,11.11,W,✓
112,3,153.44,229.75,-18.06,0.63,R,✓
113,3,153.44,1541.38,-12.34,0.98,R,✓
114,3,153.44,2971.84,-6.87,1.10,R,✓
115,3,153.44,5952.85,-1.18,1.12,R,✓
116,3,153.44,6043.90,4.25,1.02,R,✓
117,3,153.44,3095.90,8.07,0.47,R,✓
118,3,153.44,1486.90,13.34,0.73,R,✓
119,3,153.44,315.19,18.53,1.34,R,✓
120,3,153.44,1475.54,-17.51,1.83,R,✓
121,3,153.44,3043.93,-12.83,1.10,R,✓
122,3,153.44,7589.03,-8.48,2.24,R,✓
123,3,153.44,7559.38,-2.97,0.82,R,✓
124,3,153.44,7444.23,4.10,1.66,R,✓
125,3,153.44,7468.76,8.11,1.76,R,✓
126,3,153.44,3113.87,14.60,0.94,R,✓
127,3,153.44,1554.40,19.07,1.91,R,✓
128,3,153.44,3107.43,-18.95,2.43,R,✓
129,3,153.44,7525.60,-13.18,3.87,R,✓
130,3,153.44,10083.88,-8.93,3.20,R,✓
131,3,153.44,10011.57,-3.29,2.80,R,✓
132,3,153.44,9982.97,2.03,3.69,R,✓
133,3,153.44,9944.74,8.01,3.57,R,✓
134,3,153.44,7542.28,13.28,2.55,R,✓
135,3,153.44,2939.91,17.44,3.66,R,✓
136,3,153.44,6111.89,-16.91,4.94,R,✓
137,3,153.44,7579.45,-11.79,5.83,R,✓
138,3,153.44,10068.54,-6.42,4.96,R,✓
139,3,153.44,12103.10,-2.71,4.85,R,✓
140,3,153.44,11983.45,3.99,5.49,R,✓
141,3,153.44,10109.07,9.76,6.15,R,✓
142,3,153.44,7474.58,13.97,5.87,R,✓
143,3,153.44,5909.50,18.30,4.49,R,✓
144,3,153.44,2970.28,-18.74,7.52,R,✓
145,3,153.44,7592.20,-12.72,8.13,R,✓
146,3,153.44,10070.62,-7.64,8.10,R,✓
147,3,153.44,9958.52,-2.27,7.73,R,✓
148,3,153.44,10065.27,2.29,7.86,R,✓
149,3,153.44,9950.63,9.41,7.26,R,✓
150,3,153.44,7599.13,13.91,7.63,R,✓
151,3,153.44,2952.14,19.65,7.32,R,✓
152,3,153.44,1468.15,-17.35,9.03,R,✓
153,3,153.44,3036.38,-12.67,9.57,R,✓
154,3,153.44,7570.63,-7.43,8.36,R,✓
155,3,153.44,7563.06,-1.22,9.05,R,✓
156,3,153.44,7518.77,3.14,8.71,R,✓
157,3,153.44,7563.30,7.75,9.47,R,✓
158,3,153.44,3076.13,14.12,9.59,R,✓
159,3,153.44,1503.95,18.98,8.55,R,✓
160,3,153.44,344.37,-17.33,11.21,R,✓
161,3,153.44,1606.18,-13.70,10.66,R,✓
162,3,153.44,3108.27,-8.30,10.79,R,✓
163,3,153.44,6033.92,-2.32,10.83,R,✓
164,3,153.44,6061.47,2.64,10.60,R,✓
165,3,153.44,3021.44,7.11,11.56,R,✓
166,3,153.44,1545.55,12.28,11.41,R,✓
167,3,153.44,211.94,17.24,10.62,R,✓
168,4,87.87,242.57,-17.23,1.12,G,✗
169,4,87.87,1520.70,-11.62,0.78,G,✗
170,4,87.87,3016.05,-7.27,-0.16,G,✗
171,4,87.87,5962.19,-2.26,1.23,G,✗
172,4,87.87,6010.05,3.48,0.77,G,✗
173,4,87.87,3108.36,8.79,0.13,G,✗
174,4,87.87,1495.19,14.06,1.45,G,✗
175,4,87.87,344.02,19.04,1.56,G,✗
176,4,87.87,1447.91,-17.71,1.69,G,✗
177,4,87.87,3071.73,-13.11,0.97,G,✗
178,4,87.87,7568.85,-7.43,1.92,G,✗
179,4,87.87,7582.58,-3.32,2.07,G,✗
180,4,87.87,7471.29,3.60,1.84,G,✗
181,4,87.87,7470.14,9.45,2.48,G,✗
182,4,87.87,3095.73,13.76,0.91,G,✗
183,4,87.87,1554.78,18.40,1.42,G,✗
184,4,87.87,3112.37,-18.40,2.74,G,✗
185,4,87.87,7501.81,-13.14,2.84,G,✗
186,4,87.87,10057.59,-8.13,3.29,G,✗
187,4,87.87,9982.81,-2.14,3.31,G,✗
188,4,87.87,9971.57,3.15,2.60,G,✗
189,4,87.87,9961.38,8.40,3.45,G,✗
190,4,87.87,7546.16,13.52,2.26,G,✗
191,4,87.87,2931.91,17.95,3.14,G,✗
192,4,87.87,6104.07,-17.32,4.68,G,✗
193,4,87.87,7570.59,-12.12,4.38,G,✗
194,4,87.87,10084.70,-7.60,5.50,G,✗
195,4,87.87,12074.00,-1.59,5.70,G,✗
196,4,87.87,12002.79,3.74,6.18,G,✗
197,4,87.87,10102.87,8.72,6.18,G,✗
198,4,87.87,7464.32,15.10,4.54,G,✗
199,4,87.87,5922.50,18.27,5.46,G,✗
200,4,87.87,2983.10,-17.55,8.65,G,✗
201,4,87.87,7585.56,-12.15,8.03,G,✗
202,4,87.87,10042.97,-7.08,7.74,G,✗
203,4,87.87,9992.77,-2.44,7.21,G,✗
204,4,87.87,10062.39,2.63,8.20,G,✗
205,4,87.87,9989.15,9.39,8.50,G,✗
206,4,87.87,7606.19,14.32,8.89,G,✗
207,4,87.87,2965.54,18.47,8.72,G,✗
208,4,87.87,1473.36,-16.95,9.37,G,✗
209,4,87.87,3045.57,-12.34,9.81,G,✗
210,4,87.87,7604.07,-7.42,9.01,G,✗
211,4,87.87,7565.42,-2.33,8.52,G,✗
212,4,87.87,7532.20,2.39,8.88,G,✗
213,4,87.87,7588.57,8.08,8.52,G,✗
214,4,87.87,3073.88,14.09,9.38,G,✗
215,4,87.87,1501.40,18.22,8.56,G,✗
216,4,87.87,355.30,-17.36,11.36,G,✗
217,4,87.87,1591.44,-12.95,11.87,G,✗
218,4,87.87,3075.21,-8.62,11.91,G,✗
219,4,87.87,6028.10,-2.69,10.39,G,✗
220,4,87.87,6059.91,2.40,11.04,G,✗
221,4,87.87,3021.65,7.50,11.02,G,✗
222,4,87.87,1526.15,12.20,10.63,G,✗
223,4,87.87,215.16,17.34,11.01,G,✗
224,5,89.20,237.67,-17.45,1.11,R,✓
225,5,89.20,1565.09,-11.82,0.84,R,✓
226,5,89.20,3006.57,-6.47,0.76,R,✓
227,5,89.20,5923.72,-2.70,1.33,R,✓
228,5,89.20,6033.23,4.08,0.89,R,✓
229,5,89.20,3109.89,8.42,1.08,R,✓
230,5,89.20,1493.50,14.09,0.33,R,✓
231,5,89.20,314.67,18.52,1.22,R,✓
232,5,89.20,1437.88,-18.35,0.81,R,✓
233,5,89.20,3067.04,-13.82,1.37,R,✓
234,5,89.20,7561.01,-8.61,0.71,R,✓
235,5,89.20,7562.54,-1.97,2.15,R,✓
236,5,89.20,7475.57,4.00,2.05,R,✓
237,5,89.20,7465.31,8.42,1.93,R,✓
238,5,89.20,3116.23,13.54,0.85,R,✓
239,5,89.20,1560.72,18.05,2.41,R,✓
240,5,89.20,3071.26,-18.41,2.46,R,✓
241,5,89.20,7527.63,-12.17,4.01,R,✓
242,5,89.20,10087.38,-8.28,2.77,R,✓
243,5,89.20,9991.17,-3.25,3.43,R,✓
244,5,89.20,9944.53,2.08,2.75,R,✓
245,5,89.20,9961.52,8.52,4.14,R,✓
246,5,89.20,7520.32,13.41,2.53,R,✓
247,5,89.20,2930.12,18.39,4.10,R,✓
248,5,89.20,6085.25,-18.63,5.07,R,✓
249,5,89.20,7576.35,-12.04,5.11,R,✓
250,5,89.20,10062.81,-6.71,5.98,R,✓
251,5,89.20,12077.93,-1.08,5.82,R,✓
252,5,89.20,11973.97,3.67,4.41,R,✓
253,5,89.20,10128.26,9.15,6.35,R,✓
254,5,89.20,7489.19,14.61,5.13,R,✓
255,5,89.20,5927.64,19.49,4.76,R,✓
256,5,89.20,2967.50,-18.79,7.18,R,✓
257,5,89.20,7612.20,-12.38,9.00,R,✓
258,5,89.20,10048.03,-7.79,7.16,R,✓
259,5,89.20,9964.73,-2.63,8.96,R,✓
260,5,89.20,10047.14,2.77,8.40,R,✓
261,5,89.20,9955.31,8.46,8.20,R,✓
262,5,89.20,7566.61,12.98,7.75,R,✓
263,5,89.20,2988.00,19.61,7.31,R,✓
264,5,89.20,1503.15,-16.94,8.69,R,✓
265,5,89.20,3058.77,-11.46,8.33,R,✓
266,5,89.20,7575.22,-6.18,8.21,R,✓
267,5,89.20,7595.46,-1.92,8.37,R,✓
268,5,89.20,7514.51,4.32,9.96,R,✓
269,5,89.20,7591.59,9.53,8.22,R,✓
270,5,89.20,3054.95,12.76,8.70,R,✓
271,5,89.20,1484.17,18.27,8.13,R,✓
272,5,89.20,356.64,-18.54,11.94,R,✓
273,5,89.20,1604.44,-13.44,10.88,R,✓
274,5,89.20,3098.87,-8.51,10.24,R,✓
275,5,89.20,6009.47,-3.87,12.17,R,✓
276,5,89.20,6063.64,3.06,11.07,R,✓
277,5,89.20,2984.53,6.56,11.00,R,✓
278,5,89.20,1534.48,13.10,10.87,R,✓
279,5,89.20,237.92,18.11,12.07,R,✓
280,6,178.93,225.08,-17.68,0.39,W,✓
281,6,178.93,1553.12,-12.67,0.50,W,✓
282,6,178.93,2985.40,-7.66,0.43,W,✓
283,6,178.93,5932.56,-2.07,0.45,W,✓
284,6,178.93,6014.27,4.44,1.05,W,✓
285,6,178.93,3088.00,8.62,1.39,W,✓
286,6,178.93,1495.42,13.46,1.37,W,✓
287,6,178.93,351.66,19.78,1.53,W,✓
288,6,178.93,1440.44,-18.17,0.73,W,✓
289,6,178.93,3037.67,-13.38,1.46,W,✓
290,6,178.93,7573.26,-7.55,1.43,W,✓
291,6,178.93,7546.76,-2.67,0.98,W,✓
292,6,178.93,7485.30,3.44,1.97,W,✓
293,6,178.93,7449.61,8.95,2.10,W,✓
294,6,178.93,3100.27,13.77,0.85,W,✓
295,6,178.93,1548.59,18.82,1.21,W,✓
296,6,178.93,3090.36,-17.33,4.18,W,✓
297,6,178.93,7500.40,-14.00,3.19,W,✓
298,6,178.93,10081.86,-7.12,3.96,W,✓
299,6,178.93,9998.51,-1.92,3.95,W,✓
300,6,178.93,9955.75,2.04,2.54,W,✓
301,6,178.93,9950.40,7.31,2.59,W,✓
302,6,178.93,7544.61,12.35,3.58,W,✓
303,6,178.93,2930.14,17.70,4.18,W,✓
304,6,178.93,6107.84,-16.82,5.93,W,✓
305,6,178.93,7595.89,-13.28,6.21,W,✓
306,6,178.93,10047.24,-6.73,4.76,W,✓
307,6,178.93,12116.58,-2.90,5.34,W,✓
308,6,178.93,11997.20,3.24,5.29,W,✓
309,6,178.93,10132.74,9.81,6.31,W,✓
310,6,178.93,7473.63,14.86,5.70,W,✓
311,6,178.93,5916.31,19.63,4.90,W,✓
312,6,178.93,2960.62,-17.30,9.00,W,✓
313,6,178.93,7602.08,-12.67,7.98,W,✓
314,6,178.93,10053.47,-8.02,9.10,W,✓
315,6,178.93,9957.39,-2.84,9.01,W,✓
316,6,178.93,10035.10,2.24,8.98,W,✓
317,6,178.93,9981.24,7.84,8.51,W,✓
318,6,178.93,7606.42,12.79,8.28,W,✓
319,6,178.93,2950.46,19.35,7.81,W,✓
320,6,178.93,1479.18,-17.87,9.16,W,✓
321,6,178.93,3046.22,-12.11,9.57,W,✓
322,6,178.93,7583.38,-6.58,10.06,W,✓
323,6,178.93,7581.29,-2.19,8.67,W,✓
324,6,178.93,7496.52,4.16,9.18,W,✓
325,6,178.93,7611.83,9.31,9.97,W,✓
326,6,178.93,3089.29,12.95,9.88,W,✓
327,6,178.93,1515.58,19.20,9.63,W,✓
328,6,178.93,342.02,-19.02,11.32,W,✓
329,6,178.93,1610.69,-13.45,10.37,W,✓
330,6,178.93,3085.28,-8.99,11.00,W,✓
331,6,178.93,6024.32,-3.74,11.25,W,✓
332,6,178.93,6045.03,3.25,12.05,W,✓
333,6,178.93,2997.72,6.85,11.64,W,✓
334,6,178.93,1532.89,11.81,11.72,W,✓
335,6,178.93,237.03,17.31,11.13,W,✓
336,7,161.50,230.05,-16.75,-0.12,Y,✓
337,7,161.50,1554.03,-12.76,1.45,Y,✓
338,7,161.50,2977.15,-6.39,0.80,Y,✓
339,7,161.50,5966.58,-1.42,0.35,Y,✓
340,7,161.50,6032.95,3.08,-0.18,Y,✓
341,7,161.50,3088.24,7.90,-0.16,Y,✓
342,7,161.50,1461.93,14.77,1.67,Y,✓
343,7,161.50,331.01,19.71,0.23,Y,✓
344,7,161.50,1437.13,-17.62,0.77,Y,✓
345,7,161.50,3048.58,-13.61,2.45,Y,✓
346,7,161.50,7560.54,-8.72,1.50,Y,✓
347,7,161.50,7586.18,-2.23,2.37,Y,✓
348,7,161.50,7455.80,3.60,1.12,Y,✓
349,7,161.50,7479.29,9.38,2.46,Y,✓
350,7,161.50,3129.81,12.86,2.43,Y,✓
351,7,161.50,1559.77,18.08,1.32,Y,✓
352,7,161.50,3112.34,-17.46,2.76,Y,✓
353,7,161.50,7529.36,-12.72,4.21,Y,✓
354,7,161.50,10066.35,-8.18,3.36,Y,✓
355,7,161.50,10002.58,-3.57,2.56,Y,✓
356,7,161.50,9952.37,2.71,2.64,Y,✓
357,7,161.50,9942.38,7.67,2.24,Y,✓
358,7,161.50,7503.01,12.67,2.80,Y,✓
359,7,161.50,2937.72,18.58,2.81,Y,✓
360,7,161.50,6121.33,-16.96,4.55,Y,✓
361,7,161.50,7579.03,-12.59,4.38,Y,✓
362,7,161.50,10078.57,-7.99,4.53,Y,✓
363,7,161.50,12107.34,-1.25,6.32,Y,✓
364,7,161.50,11981.29,3.84,5.44,Y,✓
365,7,161.50,10125.75,9.32,4.60,Y,✓
366,7,161.50,7468.06,14.20,4.76,Y,✓
367,7,161.50,5949.86,19.31,6.30,Y,✓
368,7,161.50,2984.16,-17.30,7.54,Y,✓
369,7,161.50,7601.66,-13.31,8.40,Y,✓
370,7,161.50,10074.54,-6.90,7.59,Y,✓
371,7,161.50,9977.73,-3.05,8.65,Y,✓
372,7,161.50,10054.61,3.66,8.17,Y,✓
373,7,161.50,9977.82,9.10,7.97,Y,✓
374,7,161.50,7565.41,13.53,9.08,Y,✓
375,7,161.50,2996.44,19.50,8.75,Y,✓
376,7,161.50,1504.86,-16.10,8.23,Y,✓
377,7,161.50,3039.83,-11.90,9.88,Y,✓
378,7,161.50,7605.05,-7.73,9.28,Y,✓
379,7,161.50,7565.39,-1.04,8.40,Y,✓
380,7,161.50,7503.86,3.18,8.94,Y,✓
381,7,161.50,7582.08,7.97,9.54,Y,✓
382,7,161.50,3097.25,14.01,9.45,Y,✓
383,7,161.50,1485.71,18.14,9.13,Y,✓
384,7,161.50,325.18,-17.94,10.89,Y,✓
385,7,161.50,1567.60,-13.07,10.52,Y,✓
386,7,161.50,3084.64,-7.56,11.77,Y,✓
387,7,161.50,5997.51,-3.19,12.04,Y,✓
388,7,161.50,6082.02,2.14,10.53,Y,✓
389,7,161.50,3004.23,7.43,11.90,Y,✓
390,7,161.50,1565.79,13.51,10.41,Y,✓
391,7,161.50,228.27,18.18,10.91,Y,✓
392,8,132.02,262.70,-18.08,0.46,Y,✗
393,8,132.02,1552.83,-11.90,1.37,Y,✗
394,8,132.02,2981.14,-7.34,0.88,Y,✗
395,8,132.02,5933.68,-2.71,0.27,Y,✗
396,8,132.02,6027.22,4.35,-0.14,Y,✗
397,8,132.02,3091.12,8.55,0.36,Y,✗
398,8,132.02,1486.93,13.95,0.15,Y,✗
399,8,132.02,341.08,19.52,0.29,Y,✗
400,8,132.02,1468.44,-18.11,1.41,Y,✗
401,8,132.02,3045.24,-12.45,1.32,Y,✗
402,8,132.02,7593.09,-8.10,0.92,Y,✗
403,8,132.02,7549.71,-2.12,2.13,Y,✗
404,8,132.02,7462.74,3.19,1.15,Y,✗
405,8,132.02,7449.96,9.48,1.77,Y,✗
406,8,132.02,3115.33,12.99,1.33,Y,✗
407,8,132.02,1543.81,19.01,2.44,Y,✗
408,8,132.02,3109.35,-18.29,2.46,Y,✗
409,8,132.02,7494.46,-12.30,3.72,Y,✗
410,8,132.02,10057.08,-7.13,3.69,Y,✗
411,8,132.02,9978.18,-3.06,3.92,Y,✗
412,8,132.02,9946.18,2.01,2.85,Y,✗
413,8,132.02,9957.67,7.37,4.14,Y,✗
414,8,132.02,7513.61,13.37,2.76,Y,✗
415,8,132.02,2931.39,19.04,3.63,Y,✗
416,8,132.02,6124.01,-18.26,4.88,Y,✗
417,8,132.02,7600.19,-12.46,4.52,Y,✗
418,8,132.02,10084.67,-8.01,6.14,Y,✗
419,8,132.02,12096.12,-2.03,6.04,Y,✗
420,8,132.02,12006.55,3.89,4.82,Y,✗
421,8,132.02,10089.70,9.32,5.69,Y,✗
422,8,132.02,7463.87,14.65,4.66,Y,✗
423,8,132.02,5931.43,19.75,4.38,Y,✗
424,8,132.02,2967.54,-18.82,7.87,Y,✗
425,8,132.02,7571.72,-12.15,9.02,Y,✗
426,8,132.02,10049.55,-7.63,7.62,Y,✗
427,8,132.02,9964.97,-1.88,8.25,Y,✗
428,8,132.02,10041.84,2.38,7.41,Y,✗
429,8,132.02,9990.40,9.07,8.53,Y,✗
430,8,132.02,7573.35,13.84,8.33,Y,✗
431,8,132.02,2975.71,18.12,8.21,Y,✗
432,8,132.02,1493.70,-16.96,9.02,Y,✗
433,8,132.02,3047.61,-12.75,8.24,Y,✗
434,8,132.02,7609.31,-6.49,8.82,Y,✗
435,8,132.02,7571.24,-1.98,9.81,Y,✗
436,8,132.02,7518.28,2.48,9.26,Y,✗
437,8,132.02,7586.01,7.58,8.75,Y,✗
438,8,132.02,3090.78,14.36,9.14,Y,✗
439,8,132.02,1488.02,18.42,8.32,Y,✗
440,8,132.02,339.17,-18.72,11.68,Y,✗
441,8,132.02,1572.08,-14.15,12.09,Y,✗
442,8,132.02,3107.09,-9.20,10.52,Y,✗
443,8,132.02,6020.09,-2.45,11.47,Y,✗
444,8,132.02,6063.73,1.42,11.29,Y,✗
445,8,132.02,2985.25,8.46,12.10,Y,✗
446,8,132.02,1566.17,13.46,10.41,Y,✗
447,8,132.02,218.20,18.46,11.09,Y,✗
448,9,121.69,233.63,-17.88,0.97,G,✗
449,9,121.69,1536.58,-13.43,0.16,G,✗
450,9,121.69,2985.05,-6.91,1.72,G,✗
451,9,121.69,5956.28,-1.05,1.57,G,✗
452,9,121.69,6044.61,3.62,-0.18,G,✗
453,9,121.69,3090.52,8.50,0.17,G,✗
454,9,121.69,1460.64,13.08,1.33,G,✗
455,9,121.69,349.25,19.26,1.21,G,✗
456,9,121.69,1466.81,-17.77,0.74,G,✗
457,9,121.69,3034.58,-12.66,0.91,G,✗
458,9,121.69,7569.08,-8.31,1.16,G,✗
459,9,121.69,7572.07,-2.48,2.60,G,✗
460,9,121.69,7455.93,3.74,1.04,G,✗
461,9,121.69,7452.58,9.12,1.40,G,✗
462,9,121.69,3085.89,14.75,2.29,G,✗
463,9,121.69,1540.61,18.74,1.95,G,✗
464,9,121.69,3071.36,-18.15,3.86,G,✗
465,9,121.69,7515.66,-12.51,3.98,G,✗
466,9,121.69,10100.28,-7.10,2.39,G,✗
467,9,121.69,9992.66,-3.18,3.52,G,✗
468,9,121.69,9975.70,1.78,3.64,G,✗
469,9,121.69,9923.93,8.66,3.55,G,✗
470,9,121.69,7519.49,13.65,4.22,G,✗
471,9,121.69,2910.61,18.49,2.65,G,✗
472,9,121.69,6128.71,-18.37,6.00,G,✗
473,9,121.69,7605.48,-13.49,4.59,G,✗
474,9,121.69,10083.47,-6.89,5.79,G,✗
475,9,121.69,12098.85,-2.11,5.76,G,✗
476,9,121.69,11987.18,4.17,4.49,G,✗
477,9,121.69,10125.75,7.96,5.48,G,✗
478,9,121.69,7479.19,14.54,6.03,G,✗
479,9,121.69,5911.21,19.93,5.13,G,✗
480,9,121.69,2979.84,-17.71,9.00,G,✗
481,9,121.69,7591.77,-12.59,9.02,G,✗
482,9,121.69,10047.94,-7.07,8.16,G,✗
483,9,121.69,9982.74,-2.45,7.95,G,✗
484,9,121.69,10083.29,2.78,7.60,G,✗
485,9,121.69,9950.94,8.95,7.54,G,✗
486,9,121.69,7606.30,13.40,8.79,G,✗
487,9,121.69,2963.99,19.08,7.13,G,✗
488,9,121.69,1468.16,-17.73,8.53,G,✗
489,9,121.69,3063.29,-12.10,8.82,G,✗
490,9,121.69,7609.36,-6.70,9.66,G,✗
491,9,121.69,7557.42,-1.00,9.28,G,✗
492,9,121.69,7533.60,3.52,9.51,G,✗
493,9,121.69,7568.19,9.14,8.89,G,✗
494,9,121.69,3070.48,14.50,9.34,G,✗
495,9,121.69,1497.69,18.30,9.20,G,✗
496,9,121.69,350.24,-17.45,12.16,G,✗
497,9,121.69,1609.86,-13.04,10.23,G,✗
498,9,121.69,3114.44,-9.06,10.89,G,✗
499,9,121.69,6023.32,-2.78,12.12,G,✗
500,9,121.69,6055.90,1.95,11.45,G,✗
501,9,121.69,3024.49,7.36,11.37,G,✗
502,9,121.69,1549.42,13.50,11.49,G,✗
503,9,121.69,211.60,18.60,10.23,G,✗
504,10,95.06,237.01,-16.76,0.68,W,✗
505,10,95.06,1562.82,-13.40,1.67,W,✗
506,10,95.06,3019.11,-6.64,1.53,W,✗
507,10,95.06,5943.69,-2.03,0.91,W,✗
508,10,95.06,6014.34,2.97,-0.01,W,✗
509,10,95.06,3103.29,9.07,0.40,W,✗
510,10,95.06,1462.16,13.36,-0.14,W,✗
511,10,95.06,310.33,18.79,0.60,W,✗
512,10,95.06,1461.21,-18.28,1.49,W,✗
513,10,95.06,3046.80,-13.20,1.03,W,✗
514,10,95.06,7576.76,-8.62,1.75,W,✗
515,10,95.06,7554.47,-3.22,1.44,W,✗
516,10,95.06,7481.81,3.58,2.44,W,✗
517,10,95.06,7492.69,8.81,1.22,W,✗
518,10,95.06,3115.74,14.43,1.78,W,✗
519,10,95.06,1568.26,19.28,1.57,W,✗
520,10,95.06,3077.04,-18.26,3.33,W,✗
521,10,95.06,7532.32,-12.22,2.87,W,✗
522,10,95.06,10092.20,-7.51,3.86,W,✗
